AuthorId,AuthorName,Gender,Age,Followers,Following,FollowerUsers,FollowingUsers,password
1131,Michelle Minicucci,Female,24,1,9,"""256""","""104,223,227,273,935,1135,1615,1738,7391""",Abc12345@
1132,Panda Rose,Female,23,1,5,"""446""","""189,256,731,1190,4457""",Abc12345@
1133,PhylPhyl,Male,45,4,3,"""702,1241,4365,4466""","""67,482,4786""",Abc12345@
1134,Just Janie,Female,41,4,3,"""48,76,446,867""","""523,924,1069""",Abc12345@
1135,seesko,Female,29,21,9,"""216,1131,2492,2685,3620,3755,4134,4310,4501,4536,4796,6600,6610,6896,7012,7845,8311,8326,8709,9060,9679""","""31,898,951,2241,4649,6002,7578,8569,9537""",Abc12345@
1136,Marmaduke,Male,30,3,10,"""167,904,3385""","""172,261,667,1241,2656,3023,3949,4723,5317,6573""",Abc12345@
1137,cullinaryjudge2,Male,44,1,3,"""3385""","""286,441,3082""",Abc12345@
1138,Chadley25,Female,38,3,5,"""728,778,889""","""108,312,615,640,1241""",Abc12345@
1139,Sarann63,Female,50,1,4,"""3071""","""61,256,1778,4857""",Abc12345@
1140,foodcrazee,Male,59,1,3,"""5516""","""380,2508,3023""",Abc12345@
1141,Sugarsup3,Female,40,2,3,"""1026,3319""","""271,2198,2487""",Abc12345@
1142,annlouise,Male,18,7,11,"""237,1462,2178,3834,4254,4635,5477""","""358,489,984,1647,1657,1749,3445,4795,6240,6423,9036""",Abc12345@
1143,Melindabc,Male,32,2,2,"""24,2585""","""1743,4291""",Abc12345@
1144,Anissa,Male,30,14,6,"""438,441,1743,3124,3221,4141,6500,6559,6769,7042,7477,8591,8936,9839""","""462,1415,2261,2823,2852,8981""",Abc12345@
1145,Suseme,Male,22,1,5,"""3714""","""256,334,441,1406,5204""",Abc12345@
1146,jackandfiona,Male,36,6,7,"""35,532,1241,1866,3658,7503""","""108,256,1025,1572,2169,2611,6809""",Abc12345@
1147,Rhonda J,Female,43,2,73,"""998,4365""","""93,161,283,291,310,401,416,459,464,481,721,790,981,989,1006,1083,1262,1349,1368,1430,1441,1574,1653,1752,1781,1791,2009,2278,2304,2454,2837,3290,3423,3582,3669,3828,4012,4022,4190,4207,4447,4465,4498,4538,4642,4929,4951,5388,5478,5774,6045,6056,6248,6382,6418,6618,6804,7048,7063,7157,7233,7443,7565,7670,7841,8199,8332,8459,8527,9132,9251,9295,9522""",Abc12345@
1148,Rinder,Female,24,2,8,"""148,4005""","""76,482,528,605,1979,3401,4457,5543""",Abc12345@
1149,strawberryjane,Female,51,18,4,"""17,67,1496,2095,3138,3263,3876,4452,4506,4629,4905,5343,7203,7432,7793,8057,9263,9494""","""823,1202,1241,3229""",Abc12345@
1150,Shirl J 831,Male,54,27,19,"""279,544,746,1097,1210,1275,2619,2715,3037,3288,3390,4115,4630,4687,4855,5292,7231,7524,7869,7970,8214,8459,8533,8612,8940,9017,9153""","""35,216,256,820,2347,2880,2960,4718,4723,5125,5209,5739,6804,7001,7163,7284,8000,8206,9207""",Abc12345@
1151,soulmatesforever,Female,40,10,2,"""38,152,256,436,4466,4974,5148,6572,7550,7688""","""2460,7039""",Abc12345@
1152,Jenifer Aydelotte,Male,32,3,2,"""256,694,1453""","""67,4251""",Abc12345@
1153,ingenue,Male,23,3,8,"""1661,2649,2923""","""36,178,207,532,840,2169,2690,2780""",Abc12345@
1154,northernmom,Female,20,6,8,"""311,1202,1912,3392,4207,6985""","""156,290,302,699,1130,3714,4846,7161""",Abc12345@
1155,Notherjack,Male,35,2,3,"""2661,4724""","""186,1241,2473""",Abc12345@
1156,Misterol,Male,51,1,3,"""867""","""248,992,5976""",Abc12345@
1157,Iowahorse,Male,46,1,6,"""441""","""67,75,1552,3637,4449,8680""",Abc12345@
1158,redplaid huf,Female,42,2,3,"""2508,6585""","""256,436,7803""",Abc12345@
1159,SusieQusie,Female,27,59,21,"""139,231,378,881,938,998,1018,1220,1250,1462,1899,1938,2080,2317,2406,2488,2871,2925,2973,3318,3468,3695,3803,3954,4025,4031,4114,4457,4557,4838,5355,5819,6054,6426,6592,6631,6822,6854,6892,6997,7230,7408,7650,7803,7807,7892,7939,8000,8062,8244,8459,8579,8587,8638,9261,9318,9593,9631,9639""","""29,350,374,484,743,1241,1593,1769,2061,2109,2185,4311,4407,4644,5197,5348,5574,6139,6227,6796,8944""",Abc12345@
1160,Neta7853,Male,43,4,4,"""261,867,1315,1807""","""76,699,776,2532""",Abc12345@
1161,Colleen321,Male,24,2,2,"""175,2135""","""855,1241""",Abc12345@
1162,winnipeggirl58,Male,25,3,5,"""251,3158,4757""","""434,667,3401,3536,4853""",Abc12345@
1163,Daydream,Female,22,12,3,"""382,481,819,1779,2078,2544,3644,4016,4873,5252,7169,7949""","""207,340,572""",Abc12345@
1164,BelovedRooster,Male,20,2,3,"""186,2337""","""166,256,436""",Abc12345@
1165,Tina Klein,Male,57,7,4,"""257,924,1241,1624,3616,8309,9848""","""41,214,2479,4457""",Abc12345@
1166,bayousong,Male,24,7,11,"""117,186,256,434,461,2251,9256""","""206,333,576,745,1016,1130,2649,2767,3278,3938,4380""",Abc12345@
1167,tammy dalton,Male,20,5,5,"""90,424,3024,3626,8432""","""67,820,951,2420,3401""",Abc12345@
1168,Ingy1171,Male,31,8,5,"""408,436,689,4357,6144,8734,9085,9697""","""256,388,870,2248,5275""",Abc12345@
1169,ngdarlen,Female,27,9,7,"""408,1415,2035,2623,3201,4125,5826,6624,8331""","""256,935,2856,2932,3984,6754,9517""",Abc12345@
1170,rangertark,Male,47,3,3,"""404,640,4061""","""172,178,1241""",Abc12345@
1171,diannejm,Male,45,6,5,"""256,441,663,873,3178,8418""","""85,99,172,386,403""",Abc12345@
1172,Chaeign,Female,34,1,6,"""2321""","""303,935,998,3023,4233,6084""",Abc12345@
1173,LindaJim Moroze,Male,41,4,7,"""4,156,2081,3912""","""200,494,504,615,1241,1591,4857""",Abc12345@
1174,Katha,Female,45,14,13,"""368,425,467,563,3324,3939,6325,6885,6973,7278,7885,8565,8831,9158""","""41,67,251,351,405,547,1069,1552,2060,2939,5893,7609,8871""",Abc12345@
1175,nursejillian,Female,41,2,0,"""1218,3410""",,Abc12345@
1176,Jellybean2,Male,46,1,10,"""216""","""19,67,613,827,889,1241,1899,2028,3487,4786""",Abc12345@
1177,mickie49,Male,44,25,12,"""225,446,985,1810,1947,2227,2293,2420,2456,2555,3280,3412,3523,3764,4303,4991,5255,5947,6357,7132,7540,7680,7752,7906,9751""","""60,76,901,1979,2318,2952,3225,5144,5607,5985,8455,9012""",Abc12345@
1178,Jaylee,Male,32,1,7,"""4365""","""48,180,206,515,1111,1410,1451""",Abc12345@
1179,ElaineM,Female,50,14,8,"""482,560,720,1191,1801,1917,2880,3159,6072,6082,6398,6518,6856,7639""","""587,994,1241,1522,4555,4587,5127,5358""",Abc12345@
1180,Erran,Male,48,1,4,"""4853""","""36,446,1403,3728""",Abc12345@
1181,nanunanu,Male,19,5,9,"""216,736,1590,3177,7929""","""271,436,1014,1130,1241,1705,2169,2804,8786""",Abc12345@
1182,lucy k.,Female,35,7,6,"""253,1406,2421,3082,4046,4423,4926""","""820,933,1241,2003,4114,4457""",Abc12345@
1183,Starlita,Male,27,3,5,"""446,8911,9575""","""256,504,603,1574,6754""",Abc12345@
1184,Two Socks,Male,30,2,6,"""148,1241""","""701,806,1241,1523,1923,3714""",Abc12345@
1185,Len23,Male,55,3,6,"""256,462,943""","""23,256,282,613,2198,2843""",Abc12345@
1186,Doelee,Female,45,6,9,"""152,245,1695,2246,2344,2564""","""142,185,523,694,1738,1754,2169,3390,4457""",Abc12345@
1187,Kit..ty Of Canada,Female,59,3,2,"""620,2762,2866""","""67,1734""",Abc12345@
1188,cdgillette,Female,51,1,5,"""951""","""256,1011,1241,2169,2347""",Abc12345@
1189,Blender,Female,45,1,3,"""556""","""223,978,1590""",Abc12345@
1190,Doglover61aka Earnh,Female,54,29,20,"""274,317,334,441,538,584,642,1130,1132,1663,1821,2734,2825,3247,3594,3795,3904,4346,5813,6225,6986,7156,7326,7519,7939,8664,8708,9644,9756""","""468,935,1241,1412,2124,2220,2524,2554,2896,4464,5321,5495,5570,5988,6211,6492,7212,8332,8833,9318""",Abc12345@
1191,Aviad Sheinfeld,Male,42,2,9,"""3,1241""","""31,143,998,1179,1211,2589,2804,3023,5187""",Abc12345@
1192,Whisper,Female,34,14,15,"""34,436,446,623,813,940,1521,3616,4154,4776,5282,5913,7276,8726""","""48,446,613,1241,1993,2765,3023,3155,3288,3401,3451,7349,8564,8693,9041""",Abc12345@
1193,TinaMS,Male,49,4,4,"""67,90,1022,1241""","""230,4692,4811,5148""",Abc12345@
1194,mianbao,Male,41,10,6,"""296,751,2263,2343,2909,3438,6562,7211,8053,8533""","""234,358,818,3802,3938,8454""",Abc12345@
1195,elbe1724,Male,18,4,4,"""18,1441,4485,5250""","""167,436,2123,7992""",Abc12345@
1196,Terri Juwan,Female,19,4,13,"""380,530,3553,7469""","""1,48,67,434,820,924,1004,1241,1508,2683,5317,7168,8044""",Abc12345@
1197,AuntWoofieWoof,Male,41,27,21,"""692,782,1057,1779,2139,3000,3267,3326,3533,3801,4091,4650,4726,4850,5639,5767,5769,5877,6274,6609,7463,7807,8443,8673,9298,9343,9599""","""8,92,148,256,441,702,990,1420,2472,2521,3594,3623,4051,4441,4572,5824,5920,6298,6427,6792,7491""",Abc12345@
1198,Dorel,Female,43,41,2,"""175,598,825,888,1057,1204,1499,1779,2585,2695,2728,3109,3114,3315,3410,3525,3970,4177,4326,4356,5079,5451,5671,5728,5812,5921,6034,6189,6438,6943,6999,7235,7275,7396,7615,7821,7954,8088,8230,8445,8831""","""186,693""",Abc12345@
1199,R Smith,Female,52,0,4,,"""706,2845,3023,4603""",Abc12345@
1200,Pillsbury Dough Girl,Female,34,2,5,"""280,4384""","""41,240,250,523,747""",Abc12345@
1201,LiisaN,Male,55,34,12,"""50,279,589,729,762,898,1258,1287,2138,2280,2624,3156,3357,3365,3384,3628,4251,4741,4764,5270,5452,5604,5629,5666,6055,6494,7676,8071,8223,8285,8769,8774,9174,9471""","""186,1999,2923,3437,3786,4060,4534,4555,6082,7976,8523,8977""",Abc12345@
1202,Redneck Epicurean,Female,33,88,46,"""35,90,264,347,777,809,1043,1116,1149,1276,1411,1482,1716,1906,1957,1962,1983,2169,2189,2216,2333,2347,2401,2427,2458,2486,2608,2685,2756,2779,2826,2846,2940,3296,3427,3442,3446,3673,3875,4125,4142,4225,4370,4403,4501,4507,4706,4836,4992,4994,5340,5479,5647,5774,5817,6197,6211,6424,6439,6458,6576,6680,6838,6872,6879,6926,6958,6972,7045,7179,7542,7663,7773,7887,7984,8166,8423,8642,8738,8740,8751,8866,8908,9288,9299,9478,9697,9700""","""31,186,216,489,613,664,699,823,917,1154,1642,1872,2022,2377,2396,2441,2992,2993,3011,3039,3123,3340,3612,3681,3811,4212,4247,4366,4368,4582,4804,5019,5379,5859,6131,7169,7392,7492,7528,7710,7928,8743,9140,9219,9230,9781""",Abc12345@
1203,Heather G,Male,24,1,5,"""4757""","""206,257,441,1241,4882""",Abc12345@
1204,Latchy,Male,59,27,15,"""300,477,724,998,1556,1613,1871,2139,2226,2357,2421,2559,3186,3687,4659,5271,5807,7190,7395,7479,8254,8371,8466,8595,8641,9561,9729""","""7,67,150,172,572,1067,1198,2318,3112,6437,7163,8208,9011,9491,9759""",Abc12345@
1205,Larry in DC,Female,47,2,6,"""507,4485""","""150,250,389,404,494,689""",Abc12345@
1206,hic1454,Female,27,3,3,"""1022,1241,6754""","""248,583,3970""",Abc12345@
1207,mjcush,Female,48,4,8,"""216,699,4136,8482""","""4,24,186,261,436,474,2198,3194""",Abc12345@
1208,LeahG,Male,48,11,3,"""354,446,689,810,1241,1421,1522,3215,8287,9125,9592""","""1241,7598,8509""",Abc12345@
1209,Cdubs,Female,29,2,2,"""613,1542""","""277,1984""",Abc12345@
1210,Di S.,Female,31,6,7,"""112,230,322,1019,1241,1743""","""36,248,374,436,886,926,1150""",Abc12345@
1211,truebrit,Female,31,56,27,"""70,349,617,649,727,742,760,905,1084,1091,1191,1639,1713,1730,1792,1965,2059,2075,2243,2316,2480,2547,3103,3265,3388,3498,3700,3712,3726,3864,3874,4001,4136,4191,4272,4335,4504,4537,4559,4811,5054,5678,6014,6304,6617,7033,8129,8371,8498,8599,8923,9105,9471,9522,9543,9701""","""153,392,441,518,905,1069,1489,2094,2347,2549,3030,3089,3636,3931,4828,4927,5371,5936,6101,6951,7111,7297,7914,7927,7993,8475,9093""",Abc12345@
1212,cheeki_miss,Female,32,0,5,,"""186,370,943,1220,2781""",Abc12345@
1213,Bookworm_TS,Male,29,1,1,"""4837""","""436""",Abc12345@
1214,snowangel,Male,34,4,3,"""308,1720,5611,7488""","""25,327,436""",Abc12345@
1215,LoveBakedIn,Female,49,22,13,"""227,419,446,616,648,699,904,1799,1882,2649,2772,2859,4484,4505,5082,5508,6433,7430,7817,7854,8919,9436""","""176,388,392,434,481,1241,1707,3025,6046,7262,7280,7759,8571""",Abc12345@
1216,Jaki Walker,Male,18,1,3,"""1277""","""227,820,3341""",Abc12345@
1217,Verelucky,Male,54,7,6,"""494,1900,3338,5213,5961,8883,9804""","""2182,2856,3811,7191,9587,9715""",Abc12345@
1218,Toby Jermain,Male,50,2,13,"""518,3714""","""300,611,936,1175,1241,1666,2601,2720,2767,2995,3989,4146,5613""",Abc12345@
1219,coolaboola,Female,58,0,0,,,Abc12345@
1220,Nimz_,Female,34,200,108,"""4,20,59,94,147,199,230,243,258,280,303,413,419,434,483,529,772,775,792,841,1048,1083,1107,1128,1212,1235,1266,1281,1324,1473,1492,1531,1672,1760,1765,1866,1920,1928,1983,2034,2048,2050,2094,2095,2172,2188,2207,2238,2243,2271,2273,2308,2352,2386,2485,2514,2523,2591,2659,2680,2689,2697,2777,2831,2837,3182,3196,3202,3222,3237,3250,3315,3328,3335,3403,3439,3484,3505,3517,3553,3630,3662,3664,3755,3761,3763,3867,3909,3924,4068,4086,4088,4119,4135,4170,4374,4377,4387,4407,4416,4425,4483,4529,4554,4611,4612,4666,4691,4710,4729,4817,4855,4867,4985,4995,5011,5021,5213,5233,5241,5270,5326,5345,5354,5356,5424,5597,5639,5652,5655,5846,5892,5934,5951,5962,5991,6052,6193,6235,6284,6301,6392,6423,6444,6467,6499,6583,6613,6629,6901,6937,6992,7167,7203,7209,7220,7236,7503,7505,7532,7583,7766,7819,7832,7907,7927,7945,8155,8165,8183,8227,8312,8372,8472,8475,8479,8548,8643,8672,8754,8856,8861,8876,8952,9001,9011,9031,9069,9135,9155,9204,9295,9451,9454,9604,9669,9722,9724,9763,9791""","""32,63,208,271,306,311,451,486,571,585,604,640,658,757,845,850,898,914,979,989,1035,1086,1159,1407,1418,1458,1502,1541,1563,1603,1882,1962,1982,1987,2115,2273,2460,2675,2681,2779,2896,2909,3022,3051,3071,3183,3250,3267,3375,3384,3413,3477,3836,4035,4223,4342,4352,4478,4724,4890,4921,5084,5133,5271,5276,5351,5369,5373,5536,5569,5575,5653,5681,6013,6231,6239,6256,6472,6521,6562,6576,6628,7079,7102,7106,7126,7202,7224,7354,7461,7544,7560,7733,7780,7977,8470,8642,8726,8997,9013,9017,9100,9203,9223,9257,9601,9742,9838""",Abc12345@
1221,Becky74,Female,42,2,3,"""196,459""","""172,5936,6300""",Abc12345@
1222,vrvrvr,Female,57,1,11,"""3694""","""14,41,191,957,1004,1241,2834,3550,6227,8496,9340""",Abc12345@
1223,mary lacy,Male,28,3,3,"""404,1241,2755""","""1319,1988,4898""",Abc12345@
1224,iNEEDaCOFFEEbreak,Female,30,3,5,"""1241,1658,4522""","""178,938,1241,2544,4603""",Abc12345@
1225,Mary in LA.,Male,48,3,9,"""1038,4247,5845""","""207,210,327,400,802,4254,5284,5317,8256""",Abc12345@
1226,bwbooks castiron,Male,31,2,4,"""818,1707""","""441,1241,1290,1825""",Abc12345@
1227,DebbiF,Female,39,9,4,"""210,1410,2573,2649,2850,2856,3077,3171,3626""","""256,2649,6273,7913""",Abc12345@
1228,iguana,Male,54,0,4,,"""414,1241,5858,6637""",Abc12345@
1229,frazerjane1,Male,52,1,2,"""943""","""3261,5317""",Abc12345@
1230,JoeyGirl,Male,35,1,5,"""186""","""223,256,3063,4136,4268""",Abc12345@
1231,KCShell,Male,58,13,8,"""216,811,1241,1911,2890,3727,3878,5158,5175,5855,6517,6833,7903""","""289,561,774,2834,4649,7347,8432,9688""",Abc12345@
1232,Shels,Female,57,0,1,,"""489""",Abc12345@
1233,lin57,Male,24,2,2,"""256,4306""","""1016,7522""",Abc12345@
1234,Amezi Oisuu-Madoon,Female,23,4,2,"""52,227,989,1377""","""174,261""",Abc12345@
1235,Lilbaker,Female,18,3,5,"""262,694,5946""","""661,1220,1770,3127,4251""",Abc12345@
1236,89240,Male,25,13,18,"""267,343,1108,1241,1488,2735,4272,4903,6554,7651,8333,9404,9646""","""41,326,733,820,2430,2455,2840,3292,3603,3711,4069,4360,4632,5742,5914,6232,6451,9651""",Abc12345@
1237,nott2339,Female,34,2,4,"""14,2816""","""279,530,1901,2182""",Abc12345@
1238,Noell Eanes,Female,42,0,8,,"""4,48,96,298,446,593,1270,2761""",Abc12345@
1239,Tar Hill Lady,Female,53,0,5,,"""148,157,256,623,1019""",Abc12345@
1240,Aariq Skought,Female,21,6,6,"""104,1014,1241,1406,8686,9722""","""96,326,505,1241,4964,5476""",Abc12345@
